id,type,name,latitude,longitude,landuse,natural,leaf_type,source
way-154999935,way,,35.6945502,139.7046262,forest,,,OpenStreetMap
way-159629147,way,,35.6538668,139.7627141,forest,,,OpenStreetMap
way-159629148,way,,35.6540691,139.7630119,forest,,,OpenStreetMap
way-159629149,way,,35.6540965,139.7626376,forest,,,OpenStreetMap
way-159629150,way,,35.6540108,139.7626662,forest,,,OpenStreetMap
way-159629151,way,,35.654109,139.7624043,forest,,,OpenStreetMap
way-159629152,way,,35.6540179,139.762582,forest,,,OpenStreetMap
way-159629153,way,,35.6539578,139.7631593,forest,,,OpenStreetMap
way-159629154,way,,35.6541306,139.7631771,forest,,,OpenStreetMap
way-159629155,way,,35.6540272,139.7624447,forest,,,OpenStreetMap
way-159629157,way,,35.6538761,139.7630213,forest,,,OpenStreetMap
way-159629436,way,,35.6542856,139.7633149,forest,,,OpenStreetMap
way-159629437,way,,35.6546358,139.7634849,forest,,,OpenStreetMap
way-159629438,way,,35.6548279,139.7634367,forest,,,OpenStreetMap
way-159629439,way,,35.6550993,139.7631185,forest,,,OpenStreetMap
way-159629440,way,,35.6551698,139.7638026,forest,,,OpenStreetMap
way-159629441,way,,35.6549735,139.7635207,forest,,,OpenStreetMap
way-159629442,way,,35.6550407,139.7634645,forest,,,OpenStreetMap
way-159629443,way,,35.6550217,139.7636336,forest,,,OpenStreetMap
way-159629444,way,,35.6556389,139.7640749,forest,,,OpenStreetMap
way-159629445,way,,35.6544863,139.7634371,forest,,,OpenStreetMap
way-159629446,way,,35.6549551,139.7633429,forest,,,OpenStreetMap
way-159629447,way,,35.6552085,139.7634499,forest,,,OpenStreetMap
way-161853843,way,,35.7823784,139.910799,forest,,,OpenStreetMap
way-169600550,way,,35.8021386,139.7158729,forest,,,OpenStreetMap
way-169603345,way,,35.8017617,139.7159044,forest,,,OpenStreetMap
way-169604675,way,,35.8022424,139.7157251,forest,,,OpenStreetMap
way-170183376,way,,35.6198922,139.7545615,forest,,,OpenStreetMap
way-170183379,way,,35.616741,139.7555695,forest,,,OpenStreetMap
way-170183380,way,,35.6150951,139.7546587,forest,,,OpenStreetMap
way-176175375,way,,35.6876147,139.7583492,forest,,mixed,OpenStreetMap
way-176175379,way,新雑木林,35.6870694,139.7580504,forest,,broadleaved,OpenStreetMap
way-176175388,way,,35.6876518,139.7581506,forest,,mixed,OpenStreetMap
way-176581273,way,,35.6888028,139.7559809,forest,,,OpenStreetMap
way-176618624,way,,35.7369467,139.7478121,,wood,,OpenStreetMap
way-176618625,way,,35.7365598,139.7476395,,wood,,OpenStreetMap
way-176721223,way,,35.6858064,139.7566412,forest,,broadleaved,OpenStreetMap
way-176721224,way,,35.6867421,139.7563549,forest,,broadleaved,OpenStreetMap
way-177521798,way,,35.6844088,139.7589837,forest,,,OpenStreetMap
way-177521799,way,,35.6843677,139.7588462,forest,,,OpenStreetMap
way-177521800,way,,35.6843881,139.7585725,forest,,needleleaved,OpenStreetMap
way-177521804,way,,35.6844165,139.7582105,forest,,,OpenStreetMap
way-177976161,way,,35.7582125,139.8792757,forest,,,OpenStreetMap
way-177976162,way,,35.7584378,139.8794835,forest,,,OpenStreetMap
way-182185813,way,,35.7114384,139.7298245,,wood,,OpenStreetMap
way-182185818,way,,35.7132166,139.7241275,,wood,,OpenStreetMap
